영화제목,평점,장르,국가,러닝타임
어네스트와	셀레스틴,9.06,"애니메이션, 코미디, 드라마",프랑스,79분
국제시장,9.06,드라마,한국,126분
파리넬리,9.06,드라마,"이탈리아, 프랑스, 벨기에",111분
러브레터,9.06,"드라마, 멜로/로맨스",일본,117분
스즈미야	하루히의	소실,9.06,"애니메이션, 코미디, SF",일본,163분
리얼	스틸	(34),9.06,"액션, 드라마, SF",미국,127분
길버트	그레이프	(82),9.06,드라마,미국,118분
하모니,9.06,드라마,한국,115분
러브	액츄얼리	(62),9.03,"멜로/로맨스, 드라마, 코미디","영국, 미국",130분
타마코	러브	스토리,9.03,"애니메이션, 드라마, 코미디, 멜로/로맨스",미국,84분
서편제,9.03,드라마,한국,112분
레이	(66),9.03,드라마,미국,152분
퍼펙트	월드,9.03,드라마,미국,138분
불꽃	슛	통키,9.03,액션,한국,106분
K-19	위도우메이커,9.03,"드라마, 스릴러","독일, 영국, 미국",138분
김정일리아,9.03,"다큐멘터리, 드라마",미국,76분
스타워즈	에피소드	4	-	새로운	희망,9.03,"SF, 모험, 액션, 판타지",미국,121분
마이	시스터즈	키퍼	(86),9.03,드라마,미국,109분
성원,9.03,"멜로/로맨스, 드라마",홍콩,95분
명탐정	코난:	칠흑의	추적자,9.03,"애니메이션, 미스터리",일본,110분
내부자들:	디	오리지널,9.03,"범죄, 드라마",한국,180분
연평해전,9.03,드라마,한국,130분
에린	브로코비치,9.02,드라마,한국,132분
내부자들,9.02,"범죄, 드라마",한국,130분
글루미	썬데이,9.02,"드라마, 멜로/로맨스","독일, 헝가리",112분
식스	센스	(102),9.02,"드라마, 미스터리, 스릴러",미국,107분
용서받지	못한	자,9.02,드라마,한국,121분
왕의	남자,9.02,드라마,한국,119분
메리	크리스마스,9.02,"전쟁, 드라마","프랑스, 독일, 영국, 벨기에, 루마니아",115분
케이	팩스,9.02,"SF, 드라마, 판타지","미국, 독일",120분
마다가스카3	:	이번엔	서커스다!,9.02,"애니메이션, 모험, 코미디",미국,94분
크로싱,9.02,드라마,한국,112분
세컨핸드	라이온스,9.02,"드라마, 가족, 코미디",미국,108분
무간도	3	-	종극무간,9.02,"범죄, 드라마",홍콩,117분
진링의	13소녀,9.02,"전쟁, 서사, 드라마","중국, 홍콩",146분
스노우	워커,9.02,"모험, 드라마",캐나다,103분
러브	어페어	(90),9.02,"멜로/로맨스, 드라마",미국,108분
스타워즈	에피소드	6	-	제다이의	귀환,9.02,"SF, 모험, 액션, 판타지",미국,133분
쿵푸	팬더	(62),9.02,"애니메이션, 액션, 코미디, 가족",미국,92분
원피스	극장판	제트,9.02,"애니메이션, 모험",일본,108분
노트북	(84),9.02,"멜로/로맨스, 드라마",미국,123분
379	번지	점프를	하다,9.01,멜로/로맨스,한국,101분
블랙,9.01,드라마,인도,124분
가디언	(98),9.01,"액션, 모험, 드라마",미국,138분
굿'	바이:	Good	&	Bye,9.01,드라마,일본,130분
"조제,	호랑이	그리고	물고기들",9.01,"드라마, 멜로/로맨스",일본,117분
미션	임파서블,9.01,"액션, 스릴러",미국,110분
제8요일,9.01,드라마,"프랑스, 벨기에",118분
양들의	침묵,9.01,"범죄, 공포, 스릴러",미국,118분
빅	피쉬	(90),9.01,"드라마, 판타지, 코미디",미국,125분
청설,9.01,"멜로/로맨스, 드라마",대만,109분
피케이:	별에서	온	얼간이,9.01,"코미디, 드라마",인도,129분
러시	:	더	라이벌	(54),9.01,"액션, 드라마",미국,123분
